!9/11/2017.2:20:37.PM
!RF.CORRECTION.OFF
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S21               	S12               	S21               	S22               
!GRAPH:       	LOGMAG.PHASE      	LOGMAG            	LOGMAG            	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
PNT	FREQ1.GHZ	LOGMAG1	PHASE1.DEG	FREQ2.GHZ	LOGMAG2	FREQ3.GHZ	LOGMAG3	FREQ4.GHZ	LOGMAG4
171	0.039681817	2.113241E+001	-167.8758000	0.039681817	-7.698355E+001	0.039681817	2.113241E+001	0.039681817	5.061383E+000
172	0.040004853	2.113963E+001	-169.2737000	0.040004853	-6.581262E+001	0.040004853	2.113963E+001	0.040004853	5.070014E+000
173	0.040330518	2.114850E+001	-170.6283000	0.040330518	-6.639512E+001	0.040330518	2.114850E+001	0.040330518	5.078981E+000
174	0.040658835	2.115793E+001	-172.0119000	0.040658835	-7.322135E+001	0.040658835	2.115793E+001	0.040658835	5.096033E+000
175	0.040989824	2.117332E+001	-173.3849000	0.040989824	-7.581124E+001	0.040989824	2.117332E+001	0.040989824	5.102958E+000
176	0.041323508	2.118792E+001	-174.7922000	0.041323508	-7.960815E+001	0.041323508	2.118792E+001	0.041323508	5.118442E+000
177	0.041659908	2.119765E+001	-176.2157000	0.041659908	-7.389275E+001	0.041659908	2.119765E+001	0.041659908	5.131921E+000
178	0.041999047	2.120637E+001	-177.6309000	0.041999047	-6.607026E+001	0.041999047	2.120637E+001	0.041999047	5.145665E+000
179	0.042340947	2.122494E+001	-179.0908000	0.042340947	-6.632739E+001	0.042340947	2.122494E+001	0.042340947	5.159585E+000
180	0.042685629	2.123841E+001	179.4352000	0.042685629	-8.324130E+001	0.042685629	2.123841E+001	0.042685629	5.176147E+000
181	0.043033118	2.124740E+001	177.9555000	0.043033118	-8.506644E+001	0.043033118	2.124740E+001	0.043033118	5.197772E+000
182	0.043383436	2.126596E+001	176.4739000	0.043383436	-7.643815E+001	0.043383436	2.126596E+001	0.043383436	5.210128E+000
183	0.043736605	2.128095E+001	174.9827000	0.043736605	-7.105307E+001	0.043736605	2.128095E+001	0.043736605	5.229159E+000
184	0.044092650	2.129249E+001	173.4557000	0.044092650	-7.317646E+001	0.044092650	2.129249E+001	0.044092650	5.247656E+000
185	0.044451592	2.130758E+001	171.9229000	0.044451592	-7.125266E+001	0.044451592	2.130758E+001	0.044451592	5.267434E+000
186	0.044813457	2.132442E+001	170.3725000	0.044813457	-7.684371E+001	0.044813457	2.132442E+001	0.044813457	5.285635E+000
187	0.045178268	2.133869E+001	168.7760000	0.045178268	-6.440785E+001	0.045178268	2.133869E+001	0.045178268	5.303643E+000
188	0.045546048	2.135389E+001	167.1865000	0.045546048	-7.124196E+001	0.045546048	2.135389E+001	0.045546048	5.323867E+000
