!9/13/2017.11:18:21.AM
!RF.CORRECTION: 12.TERM.CAL
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S11               	S12               	S21               	S22               
!GRAPH:       	LOGMAG            	LOGMAG            	LOGMAG.PHASE      	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
PNT	FREQ1.GHZ	LOGMAG1	FREQ2.GHZ	LOGMAG2	FREQ3.GHZ	LOGMAG3	PHASE3.DEG	FREQ4.GHZ	LOGMAG4
77	0.001690441	-3.212960E+001	0.001690441	-8.230154E+001	0.001690441	-5.960571E+000	179.7286000	0.001690441	-3.034002E+001
78	0.001702159	-3.210864E+001	0.001702159	-9.159966E+001	0.001702159	-5.956017E+000	179.6943000	0.001702159	-3.032178E+001
79	0.001713957	-3.210155E+001	0.001713957	-8.396024E+001	0.001713957	-5.963889E+000	179.6625000	0.001713957	-3.035227E+001
80	0.001725838	-3.210897E+001	0.001725838	-8.255058E+001	0.001725838	-5.960751E+000	179.6590000	0.001725838	-3.033084E+001
81	0.001737801	-3.213297E+001	0.001737801	-8.216270E+001	0.001737801	-5.954237E+000	179.6748000	0.001737801	-3.036031E+001
82	0.001749847	-3.212323E+001	0.001749847	-8.671567E+001	0.001749847	-5.960478E+000	179.6311000	0.001749847	-3.032442E+001
83	0.001761976	-3.213023E+001	0.001761976	-7.971086E+001	0.001761976	-5.958872E+000	179.6676000	0.001761976	-3.035848E+001
84	0.001774189	-3.209882E+001	0.001774189	-8.691267E+001	0.001774189	-5.961228E+000	179.6263000	0.001774189	-3.037388E+001
85	0.001786488	-3.209904E+001	0.001786488	-8.484084E+001	0.001786488	-5.964100E+000	179.6091000	0.001786488	-3.039086E+001
86	0.001798871	-3.213100E+001	0.001798871	-9.421539E+001	0.001798871	-5.960713E+000	179.6353000	0.001798871	-3.036371E+001
87	0.001811340	-3.211938E+001	0.001811340	-8.964153E+001	0.001811340	-5.953006E+000	179.6082000	0.001811340	-3.039359E+001
88	0.001823896	-3.215891E+001	0.001823896	-9.389500E+001	0.001823896	-5.958715E+000	179.6314000	0.001823896	-3.037245E+001
89	0.001836538	-3.209798E+001	0.001836538	-8.178501E+001	0.001836538	-5.956335E+000	179.5819000	0.001836538	-3.040559E+001
90	0.001849269	-3.209702E+001	0.001849269	-8.884505E+001	0.001849269	-5.958229E+000	179.5894000	0.001849269	-3.038945E+001
91	0.001862087	-3.209183E+001	0.001862087	-9.333727E+001	0.001862087	-5.957596E+000	179.5719000	0.001862087	-3.042993E+001
92	0.001874995	-3.211526E+001	0.001874995	-9.928768E+001	0.001874995	-5.957465E+000	179.5851000	0.001874995	-3.040530E+001
93	0.001887991	-3.212743E+001	0.001887991	-8.371942E+001	0.001887991	-5.960177E+000	179.5435000	0.001887991	-3.040532E+001
94	0.001901078	-3.210566E+001	0.001901078	-8.383559E+001	0.001901078	-5.956935E+000	179.5506000	0.001901078	-3.044377E+001
95	0.001914256	-3.211995E+001	0.001914256	-8.405750E+001	0.001914256	-5.961127E+000	179.5014000	0.001914256	-3.039384E+001
96	0.001927525	-3.213051E+001	0.001927525	-8.359802E+001	0.001927525	-5.952150E+000	179.5278000	0.001927525	-3.043097E+001
97	0.001940886	-3.211938E+001	0.001940886	-8.619872E+001	0.001940886	-5.951440E+000	179.5070000	0.001940886	-3.044123E+001
98	0.001954339	-3.208981E+001	0.001954339	-8.914848E+001	0.001954339	-5.964136E+000	179.5133000	0.001954339	-3.044374E+001
99	0.001967886	-3.211827E+001	0.001967886	-8.932647E+001	0.001967886	-5.961118E+000	179.4692000	0.001967886	-3.047628E+001
100	0.001981527	-3.212305E+001	0.001981527	-8.899153E+001	0.001981527	-5.960227E+000	179.4859000	0.001981527	-3.046242E+001
101	0.001995262	-3.212704E+001	0.001995262	-8.834421E+001	0.001995262	-5.958469E+000	179.4683000	0.001995262	-3.043750E+001
102	0.002009093	-3.209396E+001	0.002009093	-8.081215E+001	0.002009093	-5.952331E+000	179.4658000	0.002009093	-3.048378E+001
103	0.002023019	-3.209988E+001	0.002023019	-8.836205E+001	0.002023019	-5.961504E+000	179.4822000	0.002023019	-3.043862E+001
104	0.002037042	-3.209344E+001	0.002037042	-9.156116E+001	0.002037042	-5.954476E+000	179.4085000	0.002037042	-3.047959E+001
105	0.002051162	-3.210667E+001	0.002051162	-8.473026E+001	0.002051162	-5.951907E+000	179.4553000	0.002051162	-3.046779E+001
106	0.002065380	-3.212453E+001	0.002065380	-8.854274E+001	0.002065380	-5.956093E+000	179.4511000	0.002065380	-3.044166E+001
